Textbox1,Brand_Name,subject_name1,sa,NM_ID,Barcode,ts_name,Quantity_ForSale_Other,Quantity_ForSale_Novosib,Quantity_ForSale_Khabarovsk,Quantity_ForSale_Krasnodar,Quantity_ForSale_Ekaterinburg,Quantity_ForSale_SPb,price_ru,discount,price_ru_discount
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Кабели,V-02-MICRO/GREY,8945356,2000135784033,0,33,,,,,1,1 314,65,459
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Кабели,V-02-MICRO/RED,8945340,2000135784026,0,32,,,1,,,1 314,65,459
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Переходники,V-O7-TYPE-C/BLACK,8841435,2000129682192,0,31,,,1,1,,1 200,65,420
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Кабели,V-02-MICRO/BLACK,8939770,2000129682246,0,32,,,,,,1 314,65,459
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Переходники,V-O7-TYPE-C/RED,8841436,2000129682215,0,29,,,,,,1 200,65,420
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Кабели,V-02-TYPE-C/BLACK,8945261,2000135784002,0,27,1,,,,,1 314,65,459
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Кабели,V-02-TYPE-C/RED,8945280,2000135784019,0,25,,,,,,1 314,65,459
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9081/BLACK,7672702,2000078518269,0,24,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8611-1/BLACK,7884729,2000086329161,0,23,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Кабели,V-02-TYPE-C/GREY,8939771,2000129682222,0,23,,,,,,1 314,65,459
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE08/220-BLACK,9256021,2000149187004,0,18,,,,1,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Переходники,V-O7-TYPE-C/BLUE,8812479,2000129682185,0,19,,,,,,1 200,65,420
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-93506/BLACK,10422486,2000217386025,0,17,,,,1,,9 000,45,4 950
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-2397/BACK-001,8751440,2000127036072,0,17,,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA362/BLACK,7672056,2000078518344,0,16,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE91281/66-BLACK,8062478,2000095926153,0,15,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE08/BLACK-SUEDE,10212003,2000201569007,0,11,,1,,1,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE619/BLACK,6891031,2000049310052,0,12,,,1,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-7055-6/BLACK-001,9211455,2000147053172,0,11,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA362/220-BLACK,9188369,2000146090062,0,11,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEb330/BLACK,7534300,2000073206383,0,10,1,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9086/BLACK,7963856,2000090160095,0,10,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE91280/BLUE-1702,9995500,2000185145013,0,8,,,1,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-A-362-2/BLACK,10859837,2000241782183,0,10,,,,,,5 850,30,4 095
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Переходники,V-08/MICRO-USB-BLACK,8469536,2000107664455,0,9,,,,,1,1 400,65,490
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE1005/WHITE,8467582,2000115098105,0,9,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE7078/BLACK-001,9763240,2000172094072,0,9,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-739/BLACK,8951205,2000135499265,0,9,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8611-1/BLACK-SKIN,10231120,2000203103049,0,9,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA362/CIARET,7672058,2000078518399,0,8,1,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEb330/BLACK-SUEDE,10859289,2000241782190,0,9,,,,,,7 650,30,5 355
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Дополнительные аккумуляторы,K-05/RED,8599076,2000107664172,0,8,,,1,,,5 000,60,2 000
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Переходники,V-05/MICRO-USB-BLACK,8469860,2000107664400,0,9,,,,,,1 257,75,314
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE9851/PURPLE,7552472,2000073442217,0,8,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE372/BLACK,7826624,2000086475554,0,6,2,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8711/KHAKI,7559945,2000073442088,0,8,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8713/FULL-LEATHER-PURPLE,8828141,2000130533339,0,7,,,1,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9082/BLACK,7626651,2000078680386,0,8,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA362/BLUE,7672057,2000078518375,0,7,,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA362/WHITE,7672062,2000078518412,0,8,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Кабели,V2-V2-BDL-SO5-TYPE-C/BLACK,8922753,2000134881061,0,8,,,,,,1 114,65,389
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE8532/BLACK,6929612,2000051233462,0,7,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE1061/BLACK,7535829,2000073206499,0,7,,,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE1062/KHAKI,7628989,2000078680591,0,5,,,1,1,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-1103/BLACK,9345244,2000152830195,0,7,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2088/GRAY,8103157,2000098261107,0,5,1,1,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-322/FULL-SKIN-BRIGHT-GRE,8830862,2000130533278,0,7,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE372/PEARL-WHITE,8298087,2000102407019,0,5,,,,1,1,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE77/BLACK,8097070,2000097536015,0,7,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8611-1/BLACK-SUEDE,10231121,2000203103124,0,7,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8655/BEAD_LIGHT_GREY,8308287,2000102407026,0,7,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8704/BLACK,7885580,2000086329031,0,7,,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8704/GOLD-SKIN,10318751,2000210701009,0,7,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9046/BROWN,8856694,2000132256069,0,6,,,1,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9852/DOUBLE_ASH,7629813,2000078680522,0,7,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA-1347-220/SILVER,8246961,2000100774038,0,6,,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA-1432-220/L-SILVER,8249240,2000100774335,0,5,,,1,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA362/1727-PINK,9188083,2000146090116,0,6,1,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA362/GREEN,7672060,2000078518382,0,7,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Переходники,V-02/TYPE-C-USB-GREY,8469732,2000107664349,0,7,,,,,,1 314,75,328
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-522/WINE-RED-1762,8752379,2000127036546,0,5,,1,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE9851/DOUBLE-BROWN,8596309,2000120363069,0,6,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DEA-7055-1/BLACK-001,9217714,2000147053332,0,6,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-F-291/CAMEL,8970347,2000137018280,0,6,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE1017/BROWN,7535909,2000073206321                 ,0,6,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-112-10-A/BEIGE,8552716,2000116710402,0,3,,1,1,1,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-322/FULL-LEATHER-PURPLE,8830952,2000130533292,0,6,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE372/03,7826619,2000086475547,0,3,,,1,1,1,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE372/SILVER-GREY,7826628,2000086475516,0,4,1,,,1,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE660/BLACK,7819858,2000086475028,0,5,,,,1,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE672/D-GREY,7870292,2000086329116,0,5,,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE713/BLACK-01,8443110,2000113591004,0,6,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8611-1/PURPLE,7882984,2000086329222,0,6,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8655/BEAD-LIGHT-GREY,8358931,2000106618107,0,6,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9086/GREEN,7965961,2000090160156,0,5,,1,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE91269/66-WHITE,7868347,2000086329437,0,4,,1,,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-9887/BLACK,8898786,2000133786206,0,5,1,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9921/PURPLE,8010455,2000094298008,0,6,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA001/PURPLE,7535342,2000073206079,0,4,,,,1,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA-1347-220/BEIGE,8250644,2000100774021,0,5,,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA-1432-220/PEARL-BLUE,8247054,2000100774304,0,6,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA384/PINK,7463816,2000068342195,0,6,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEb330/GOLD,10273331,2000206886031,0,6,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-H-3498/BLACK,8294005,2000103918880,0,5,,,,1,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Кабели,V2-V03-MICRO/BLACK,8991570,2000136186034,0,6,,,,,,1 300,65,455
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Кабели,V2-V19-MICRO/BLACK,8991161,2000136186065,0,6,,,,,,1 000,65,350
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Кабели,V2-V19-TYPE-C/BLACK,8991452,2000136186096,0,6,,,,,,1 000,65,350
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-JK181215/CAMEL,8271534,2000099812223,0,5,,,,,,3 700,50,1 850
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE08/BEAD_LIGHT_GRAY,7625968,2000078680331,0,4,,1,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE08/BLACK,7624965,2000078680379,0,2,,2,,1,,6 975,45,3 836
